OBJECT_ID,Redshift,log_z,MeasuredFlux,ErrorMeasuredFlux,stretch,stretchError,color,colorError,miu,miuError,extinction,extinctionError
SNLS-04D2ja,0.741,-0.130181792,24.098,0.045,0.945,0.036,-0.067,0.043,43.427,0.117,-0.02159,0.08690154487
SNLS-04D3co,0.62,-0.2076083105,23.781,0.022,0.895,0.017,-0.064,0.03,43.03,0.06,0.05912,0.05372257998
SNLS-04D3cp,0.83,-0.08092190762,24.235,0.063,1.11,0.035,-0.448,0.18,44.414,0.347,-0.87056,0.2875639059
SNLS-04D3cy,0.643,-0.1917890271,23.798,0.021,0.963,0.016,0.017,0.029,43.023,0.059,0.08293,0.05161824581
SNLS-04D3dd,1.01,0.004321373783,25.12,0.192,1.088,0.074,-0.071,0.205,44.673,0.533,-0.24523,0.3409386644
SNLS-04D3df,0.47,-0.3279021421,23.465,0.01,0.73,0.01,0.06,0.017,42.268,0.032,0.5046,0.03071475378
SNLS-04D3do,0.61,-0.214670165,23.574,0.014,0.862,0.013,-0.079,0.019,42.796,0.039,0.08573,0.03578109138
SNLS-04D3ez,0.263,-0.5800442515,21.678,0.004,0.895,0.006,0.091,0.003,40.682,0.013,0.30247,0.01026442887
SNLS-04D3fk,0.358,-0.4461169734,22.532,0.005,0.913,0.005,0.149,0.006,41.474,0.013,0.36617,0.01210356972
SNLS-04D3fq,0.73,-0.1366771399,24.128,0.026,0.9,0.014,-0.002,0.037,43.287,0.075,0.14886,0.06186506688
SNLS-04D3gt,0.451,-0.3458234581,23.235,0.01,0.953,0.01,0.276,0.016,42.038,0.03,0.50476,0.02936076293
SNLS-04D3gx,0.91,-0.04095860768,24.708,0.094,0.952,0.047,-0.202,0.163,44.259,0.346,-0.24418,0.2656945647
SNLS-04D3hn,0.552,-0.2580609223,23.475,0.011,0.898,0.011,0.106,0.017,42.461,0.035,0.32146,0.03149467415
SNLS-04D3is,0.71,-0.1487416513,24.256,0.027,0.972,0.002,0.22,0.038,43.176,0.077,0.38796,0.05973740202
SNLS-04D3ki,0.93,-0.03151705145,24.871,0.126,0.901,0.039,-0.256,0.194,44.43,0.43,-0.25144,0.3102951737
